Place,Address,Tags,url
LUX - Alfresco Bar,269 Beach Road Singapore 199546,"['Bars', 'Date Night', 'Cocktails', '1-For-1 Deals']",https://www.burpple.com/lux-alfresco-bar
Piedra Negra,241 Beach Road Singapore 189753,"['Mexican', 'Dinner With Drinks', 'Late Night']",https://www.burpple.com/piedra-negra
Nobu-ya,190 Middle Road #01-05 Fortune Centre Singapore 188979,"['Japanese', 'Dinner With Drinks']",https://www.burpple.com/nobuya
IndoBowl,39 Sultan Gate Singapore 198487,"['Indonesian', 'Halal', 'Newly Opened']",https://www.burpple.com/indobowlsg
Wakuwaku Yakiniku,27 Bali Lane Singapore 189863,"['Japanese', 'BBQ', 'Halal']",https://www.burpple.com/wakuwaku-yakiniku
Mellower Coffee (Bugis),108 Middle Road #01-01 The Prospex Singapore 188967,"['Cafes & Coffee', 'Desserts']",https://www.burpple.com/mellower-coffee-bugis
Kane Mochi (Bugis+),201 Victoria Street #02-50 Bugis+ Singapore 188067,"['Ice Cream & Yoghurt', 'Desserts', 'Halal']",https://www.burpple.com/kane-mochi
The Gong by Drinks & Co.,7 Fraser Street #01-59/60 DUO Galleria Singapore 189356,"['Bars', 'Dinner With Drinks', 'Late Night', 'Western', 'Cocktails']",https://www.burpple.com/the-gong-by-drinks-co
Genki Sushi (Bugis+),201 Victoria Street #01-13 Bugis+ Singapore 188067,"['Sushi', 'Japanese']",https://www.burpple.com/genki-sushi-bugis
Royz et Vous (Sultan Gate),37 Sultan Gate Singapore 198485,"['Pasta', 'Cafes & Coffee', 'Western', 'Breakfast & Brunch', 'Halal']",https://www.burpple.com/royz-et-vous-speciality-coffee
Jiu Gong Ge Hotpot,470 North Bridge Road #01-02 Bugis Cube Singapore 188735,"['Seafood', 'Rainy Day Comforts', 'Good For Groups', 'Chinese', '1-For-1 Deals', 'Steamboat']",https://www.burpple.com/jiugongge
The Malayan Council (Bussorah Street),71 Bussorah Street Singapore 199484,"['Cafes & Coffee', 'Desserts', 'Cakes', 'Breakfast & Brunch', 'Halal']",https://www.burpple.com/the-malayan-council-1
Omurice Keisuke,201 Victoria Street #04-01 Bugis+ Singapore 188067,"['Pasta', 'Japanese']",https://www.burpple.com/omurice-keisuke
Wilder,749 North Bridge Road Singapore 198717,"['Cafes & Coffee', 'Cakes', 'Breakfast & Brunch', 'Halal']",https://www.burpple.com/wilder
working title - Burger Bar,783 North Bridge Road Singapore 198751,"['Cafes & Coffee', 'Desserts', 'Burgers', 'Western', 'Halal']",https://www.burpple.com/working-title
All Things Delicious (Arab Street),34 Arab Street #01-01 Singapore 199733,"['Burpple Guides', 'Cafes & Coffee', 'Desserts', 'Cakes', 'Breakfast & Brunch', 'Halal']",https://www.burpple.com/all-things-delicious
One Bowl Restaurant and Bar,101 Jalan Sultan The Sultan Hotel Lobby Singapore 199002,"['Cheap & Good', 'Chinese']",https://www.burpple.com/one-bowl-restaurant-and-bar
Dessert First,8 Liang Seah Street #01-04 Singapore 189029,"['Desserts', 'Supper']",https://www.burpple.com/dessert-first
Ah Loy Thai,9 Tan Quee Lan Street #01-04 Singapore 188098,"['Thai', 'Cheap & Good', 'Good For Groups']",https://www.burpple.com/ah-loy-thai
Juju Coffee,5 Tan Quee Lan Street Singapore 188094,['Cafes & Coffee'],https://www.burpple.com/juju-coffee
Lubnan Authentic Lebanese Cuisine,32 Bussorah Street Singapore 199450,"['Middle Eastern', '1-For-1 Deals', 'Mediterranean']",https://www.burpple.com/lubnan
ATLAS,600 North Bridge Road Singapore 188778,"['Bars', 'Dinner With Drinks', 'European', 'Cocktails']",https://www.burpple.com/atlas
